,SERVICES,SERVICE_DATA,AVG_SUCC_RATE_OUR,AVG_SUCC_RATE_SOA,AVG_SATISFACTION,STD_SUCC_RATE_OUR,STD_SUCC_RATE_SOA,STD_SATISFACTION
10_10,10,10,0.86,0.0,0.7664444444444445,0.1356465996625054,0.0,0.03341028155493825
10_25,10,25,0.9800000000000001,0.0,0.7691555555555556,0.039999999999999994,0.0,0.029266725723385963
10_50,10,50,1.0,0.0,0.7744000000000004,0.0,0.0,0.016365818036383067
10_100,10,100,1.0,0.0,0.7668000000000006,0.0,0.0,0.009195651146058113
25_10,25,10,0.944,0.0,0.7769454545454544,0.054258639865002144,0.0,0.03880144838397418
25_25,25,25,0.992,0.0,0.7866533333333334,0.016000000000000014,0.0,0.010701310407816581
25_50,25,50,1.0,0.0,0.7760000000000005,0.0,0.0,0.008865212913404778
25_100,25,100,1.0,0.0,0.7818400000000004,0.0,0.0,0.006482468665562496
50_10,50,10,0.944,0.0,0.7942064040316319,0.03440930106817049,0.0,0.013770659754244791
50_25,50,25,0.992,0.0,0.7789159183673471,0.00979795897113272,0.0,0.011107593329385644
50_50,50,50,1.0,0.0,0.7778400000000003,0.0,0.0,0.01109839628054437
50_100,50,100,1.0,0.0,0.7776400000000004,0.0,0.0,0.005965769020000747
100_10,100,10,0.944,0.0,0.7969040531729041,0.016248076809271882,0.0,0.021089027961422584
100_25,100,25,0.97,0.0,0.7811820670802726,0.014142135623730963,0.0,0.005615418503535817
100_50,100,50,1.0,0.0,0.7763200000000003,0.0,0.0,0.0033766255344648867
100_100,100,100,1.0,0.0,0.7781200000000005,0.0,0.0,0.0009152048950917761
