,SERVICES,SERVICE_DATA,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
10_10,10,10,0.4,1.0,0.9577777777777777,0.38873012632302006,0.0,0.05183068350973601
10_25,10,25,0.4,1.0,0.9533333333333334,0.48989794855663565,0.0,0.0581186525805423
10_50,10,50,0.13333333333333333,1.0,0.96,0.1632993161855452,0.0,0.04898979485566355
10_100,10,100,0.06666666666666667,1.0,0.9800000000000001,0.13333333333333333,0.0,0.039999999999999994
25_10,25,10,0.5700000000000001,1.0,0.9662753623188406,0.33105890714493696,0.0,0.01923618116535887
25_25,25,25,0.27936507936507937,1.0,0.9719999999999999,0.22773214519950416,0.0,0.016000000000000014
25_50,25,50,0.15357142857142855,1.0,0.9893333333333333,0.14533564249554146,0.0,0.015549205052920814
25_100,25,100,0.43166666666666664,1.0,0.984,0.3309246305597562,0.0,0.01959591794226544
50_10,50,10,0.5227106227106226,1.0,0.982642100935348,0.3449861888365938,0.0,0.014678148981021998
50_25,50,25,0.4922272498743087,1.0,0.988544703595724,0.21672254398140056,0.0,0.014872873196042264
50_50,50,50,0.2563636363636364,1.0,0.9896,0.09832107595080969,0.0,0.008979977728257467
50_100,50,100,0.026666666666666665,1.0,0.9960000000000001,0.05333333333333333,0.0,0.008000000000000007
100_10,100,10,0.35,1.0,0.9966542619174199,0.3502065506228768,0.0,0.005445537001494787
100_25,100,25,0.6651348651348651,1.0,0.9903622186780081,0.3116080824363466,0.0,0.004273890817029016
100_50,100,50,0.17906162464985992,1.0,0.998,0.15743530459959568,0.0,0.0040000000000000036
100_100,100,100,0.18340155945419104,1.0,0.9915,0.12917876420735044,0.0,0.0030000000000000248
