,SERVICES,SERVICE_DATA,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
10_10,10,10,0.39,1.0,0.8571428571428573,0.3440930106817051,0.0,0.1085881357237274
10_25,10,25,0.65,1.0,0.875825144872764,0.3741657386773941,0.0,0.0872957118447885
10_50,10,50,0.22000000000000003,1.0,0.9314285714285715,0.2712931993250107,0.0,0.08590455073355945
10_100,10,100,0.2,1.0,0.95,0.4000000000000001,0.0,0.09999999999999999
25_10,25,10,0.8784126984126985,1.0,0.9059775242348043,0.1158430054636015,0.0,0.029292742965988265
25_25,25,25,0.8946153846153846,1.0,0.8977462121212121,0.10284704562066627,0.0,0.06920788335152407
25_50,25,50,1.0,1.0,0.9247777609387515,0.0,0.0,0.0805563115543079
25_100,25,100,0.9818181818181818,1.0,0.8833468720821662,0.036363636363636376,0.0,0.019189500164233392
50_10,50,10,0.8122895622895623,1.0,0.9379430358295764,0.3167212124354832,0.0,0.0343626411657776
50_25,50,25,0.9546296296296297,1.0,0.9403594631255802,0.07174581714003897,0.0,0.03960016711115831
50_50,50,50,0.9650063856960408,1.0,0.9542443013483382,0.05343022960028442,0.0,0.029709296184129888
50_100,50,100,1.0,1.0,0.9249683589948935,0.0,0.0,0.023476940340027178
100_10,100,10,0.9453655578655578,1.0,0.9775954662054541,0.047304115754943796,0.0,0.008645817447079616
100_25,100,25,1.0,1.0,0.9733319212910143,0.0,0.0,0.010861604788609067
100_50,100,50,1.0,1.0,0.9654758629203307,0.0,0.0,0.011162162892973488
100_100,100,100,1.0,1.0,0.9519245215994434,0.0,0.0,0.011210187107790258
