,SERVICES,SERVICE_DATA,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
10_10,10,10,0.4666666666666667,1.0,0.9377777777777778,0.45215533220835125,0.0,0.05096597751635429
10_25,10,25,0.5666666666666667,1.0,0.9177777777777777,0.3265986323710904,0.0,0.07555555555555554
10_50,10,50,0.4666666666666666,1.0,0.95,0.45215533220835125,0.0,0.04472135954999579
10_100,10,100,0.04,1.0,1.0,0.08,0.0,0.0
25_10,25,10,0.3,1.0,0.9863333333333333,0.39999999999999997,0.0,0.017397317800933166
25_25,25,25,0.4523809523809524,1.0,0.9862222222222222,0.3229680944345366,0.0,0.01521613828136201
25_50,25,50,0.30158730158730157,1.0,0.983,0.3249900671001835,0.0,0.02088061301782112
25_100,25,100,0.1,1.0,0.992,0.20000000000000004,0.0,0.016000000000000014
50_10,50,10,0.5,1.0,0.9825074152386826,0.3205897343611891,0.0,0.009075859488720906
50_25,50,25,0.5722222222222222,1.0,0.9735408163265307,0.3708515392950808,0.0,0.004101939281919348
50_50,50,50,0.20241758241758245,1.0,0.986,0.28888051205914644,0.0,0.01200000000000001
50_100,50,100,0.07222222222222222,1.0,0.992,0.06126243889817876,0.0,0.00979795897113272
100_10,100,10,0.47566017316017317,1.0,0.9891992908203271,0.2673576224699057,0.0,0.002438193207595317
100_25,100,25,0.3754725673600447,1.0,0.9909429292929293,0.3159139206679902,0.0,0.004848220636740465
100_50,100,50,0.35347400759964426,1.0,0.9931999999999999,0.15824526719940774,0.0,0.004118252056394804
100_100,100,100,0.06608946608946609,1.0,0.992,0.061055503849246656,0.0,0.0040000000000000036
