,SERVICES,SERVICE_DATA,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
10_10,10,10,0.7333333333333333,1.0,0.9264285714285714,0.38873012632302,0.0,0.06159446039231455
10_25,10,25,0.5333333333333333,1.0,0.8139285714285714,0.32317865716108857,0.0,0.21299132874943283
10_50,10,50,0.7333333333333333,1.0,0.866984126984127,0.22607766610417562,0.0,0.0962546278823149
10_100,10,100,0.85,1.0,0.846111111111111,0.30000000000000004,0.0,0.11015701476181423
25_10,25,10,0.96,1.0,0.9062731182216476,0.07999999999999999,0.0,0.022606279973822682
25_25,25,25,0.8,1.0,0.9054140304140305,0.4,0.0,0.08162333273285116
25_50,25,50,0.76,1.0,0.9602172096908939,0.3878143885933063,0.0,0.0253877220636865
25_100,25,100,1.0,0.9875,0.9537593984962406,0.0,0.024999999999999998,0.02667848872061681
50_10,50,10,0.711111111111111,1.0,0.9661718543008865,0.39503086299180395,0.0,0.02183206196269794
50_25,50,25,0.7083333333333333,1.0,0.961826441102757,0.37453675090407057,0.0,0.02140832619210711
50_50,50,50,0.96,1.0,0.9700346223602038,0.07999999999999999,0.0,0.028360914622729553
50_100,50,100,0.9633333333333333,1.0,0.9754256854256855,0.04521553322083512,0.0,0.02196832145481788
100_10,100,10,0.5222943722943723,1.0,0.9840099140824726,0.28100402909764216,0.0,0.0022110794450813094
100_25,100,25,0.49000000000000005,1.0,0.9942857142857143,0.32,0.0,0.011428571428571432
100_50,100,50,0.9038138528138528,1.0,0.9884312153779498,0.06650326351123753,0.0,0.005817634659883123
100_100,100,100,0.88359133126935,1.0,0.9834081175506195,0.2075051849633056,0.0,0.010739950707100128
