,SERVICES,SERVICE_DATA,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
10_10,10,10,0.6,1.0,0.9651851851851851,0.48989794855663565,0.0,0.04342029893260102
10_25,10,25,0.35,1.0,0.9533333333333334,0.43588989435406733,0.0,0.0581186525805423
10_50,10,50,0.8666666666666666,1.0,0.8811111111111112,0.16329931618554522,0.0,0.10193195503270858
10_100,10,100,0.9,1.0,0.8977777777777778,0.20000000000000004,0.0,0.004444444444444473
25_10,25,10,0.38,1.0,0.9842592592592594,0.3709447398198282,0.0,0.019333900942426922
25_25,25,25,0.6095238095238096,1.0,0.9602047807265199,0.2526952221223162,0.0,0.020294267837396632
25_50,25,50,0.495,1.0,0.9773260869565217,0.1584297951775486,0.0,0.024713825217877766
25_100,25,100,0.8778571428571429,1.0,0.9820952380952381,0.06610134457862442,0.0,0.016133232135512147
50_10,50,10,0.747979797979798,1.0,0.9844442037010289,0.1970111326528122,0.0,0.013780673932348846
50_25,50,25,0.6923504273504274,1.0,0.9758656438368091,0.2190282632132223,0.0,0.013438068155293527
50_50,50,50,0.7714107014416612,1.0,0.9645747753646914,0.17448007970351517,0.0,0.012600415564602913
50_100,50,100,0.7374468668586316,1.0,0.9842517006802721,0.15020757033421483,0.0,0.007169435488240836
100_10,100,10,0.5091364775575302,1.0,0.9859666643730082,0.2179260927945002,0.0,0.005064087956524026
100_25,100,25,0.7120522875816993,1.0,0.9882485902437861,0.1535256893735396,0.0,0.0015740705083619124
100_50,100,50,0.6749667055955089,1.0,0.9911317022243795,0.16559102491814337,0.0,0.0024949266109423663
100_100,100,100,0.9241233766233765,1.0,0.9923627580149319,0.057245644141433766,0.0,0.004128448214169164
