,SERVICES,SERVICE_DATA,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
10_10,10,10,0.5333333333333333,1.0,0.9777777777777779,0.45215533220835125,0.0,0.04444444444444447
10_25,10,25,0.6333333333333333,1.0,0.9577777777777777,0.3711842908553348,0.0,0.05183068350973601
10_50,10,50,0.2,1.0,0.9800000000000001,0.4,0.0,0.039999999999999994
10_100,10,100,0.1,1.0,1.0,0.20000000000000004,0.0,0.0
25_10,25,10,0.7495238095238095,1.0,0.9460818181818181,0.08452079136127161,0.0,0.0364794111522723
25_25,25,25,0.4733333333333333,1.0,0.9596666666666668,0.2991840756308917,0.0,0.02530700386146973
25_50,25,50,0.5599999999999999,1.0,0.9639999999999999,0.16598773279264262,0.0,0.00489897948556636
25_100,25,100,0.10666666666666666,1.0,0.976,0.0879393730551528,0.0,0.01959591794226544
50_10,50,10,0.2915151515151515,1.0,0.9847247825629285,0.2521124707109321,0.0,0.010609897090619574
50_25,50,25,0.3189957264957265,1.0,0.9871844980416409,0.28308745503034655,0.0,0.009757907565007069
50_50,50,50,0.7122863247863248,1.0,0.9862121212121211,0.189788749727097,0.0,0.012077953110171288
50_100,50,100,0.1610714285714286,1.0,0.9800000000000001,0.0908416803254637,0.0,1.1102230246251565e-16
100_10,100,10,0.23565359477124184,1.0,0.9962121212121211,0.2239250979350924,0.0,0.004677685240616838
100_25,100,25,0.6055957767722473,1.0,0.98827083683713,0.3208234158283039,0.0,0.0032857320481794673
100_50,100,50,0.24380223285486444,1.0,0.9955,0.07841842079723213,0.0,0.00556776436283001
100_100,100,100,0.4650439737396259,1.0,0.991021978021978,0.1066351526879737,0.0,0.0014071084221986036
