,SERVICES,SERVICE_DATA,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
10_10,10,10,0.6333333333333333,1.0,0.8433333333333334,0.37118429085533483,0.0,0.11430952132988165
10_25,10,25,0.65,1.0,0.8364814814814814,0.3741657386773941,0.0,0.0980180829317665
10_50,10,50,0.35,1.0,0.9666666666666668,0.43588989435406733,0.0,0.04216370213557838
10_100,10,100,0.8333333333333333,1.0,0.8444444444444444,0.13944333775567927,0.0,0.07633584016585633
25_10,25,10,0.5349999999999999,1.0,0.9461857707509882,0.3462657938636157,0.0,0.0312872502915831
25_25,25,25,0.6607142857142858,1.0,0.9600662525879917,0.39155628781902124,0.0,0.0399303570096675
25_50,25,50,0.8142857142857143,1.0,0.9733813664596273,0.11703053073756674,0.0,0.015874431848506152
25_100,25,100,0.9777777777777779,1.0,0.9708749999999998,0.04444444444444447,0.0,0.015090237830391479
50_10,50,10,0.5655011655011655,1.0,0.9816666666666667,0.323018726868167,0.0,0.018475687772858348
50_25,50,25,0.6765873015873016,1.0,0.9827876995330411,0.21081104106885182,0.0,0.00958875993865039
50_50,50,50,0.9022222222222223,1.0,0.9776855797263961,0.09594236953299068,0.0,0.010201897989233861
50_100,50,100,0.9361344537815126,1.0,0.9800666666666666,0.0789379399382681,0.0,0.010220676211592958
100_10,100,10,0.8255226352594773,1.0,0.9874645198855726,0.10985322312422173,0.0,0.0029000826884257014
100_25,100,25,0.8862745098039216,1.0,0.9845443684336967,0.1426933756757667,0.0,0.005974261536688062
100_50,100,50,0.7252089864158829,1.0,0.9897649969078541,0.1465474027864757,0.0,0.0011772555832566748
100_100,100,100,0.9198813700918965,1.0,0.9895243741765481,0.052539100145511504,0.0,0.005705261525532981
