,SERVICES,SERVICE_DATA,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
10_10,10,10,0.8,1.0,0.9170370370370371,0.4,0.0,0.10676949775838374
10_25,10,25,0.8,1.0,0.9022222222222223,0.4,0.0,0.1205747552555603
10_50,10,50,1.0,1.0,0.7477777777777777,0.0,0.0,0.10929629002095945
10_100,10,100,1.0,1.0,0.6797777777777778,0.0,0.0,0.09898846422378071
25_10,25,10,0.9666666666666668,1.0,0.913949494949495,0.06666666666666667,0.0,0.05501601551425721
25_25,25,25,0.96,1.0,0.8678783173348391,0.07999999999999999,0.0,0.0420965823766746
25_50,25,50,0.96,1.0,0.8855555555555557,0.07999999999999999,0.0,0.014572085609560012
25_100,25,100,1.0,1.0,0.8918095238095237,0.0,0.0,0.021360526885906554
50_10,50,10,0.716017316017316,1.0,0.9712457964158505,0.2831261499469687,0.0,0.010793608216567486
50_25,50,25,1.0,1.0,0.9398756891538046,0.0,0.0,0.029683189946192706
50_50,50,50,1.0,1.0,0.9365121184371186,0.0,0.0,0.009982752338074385
50_100,50,100,1.0,1.0,0.9368934240362812,0.0,0.0,0.021407711595216195
100_10,100,10,0.9916666666666668,1.0,0.971025155308596,0.016666666666666653,0.0,0.022777999225135112
100_25,100,25,0.981304347826087,1.0,0.9717817259797034,0.02299009402852572,0.0,0.010423985981842932
100_50,100,50,1.0,1.0,0.9515067568180706,0.0,0.0,0.0066938847302029265
100_100,100,100,1.0,1.0,0.9621216226599634,0.0,0.0,0.01312233959077319
