,SERVICES,SERVICE_DATA,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
10_10,10,10,0.4333333333333333,1.0,0.9349999999999999,0.3265986323710904,0.0,0.05385164807134503
10_25,10,25,0.4833333333333333,1.0,0.9199999999999999,0.3431876713662333,0.0,0.039999999999999994
10_50,10,50,0.26666666666666666,1.0,0.95,0.22607766610417562,0.0,0.04472135954999579
10_100,10,100,0.2833333333333333,1.0,0.95,0.26666666666666666,0.0,0.04472135954999579
25_10,25,10,0.40285714285714286,1.0,0.9658801054018447,0.29170854898514786,0.0,0.017156631049749953
25_25,25,25,0.5411111111111111,1.0,0.9541999999999999,0.3367894898802918,0.0,0.02788675511978961
25_50,25,50,0.08,1.0,1.0,0.09797958971132713,0.0,0.0
25_100,25,100,0.2793939393939394,1.0,0.968,0.1691376062379194,0.0,0.016000000000000014
50_10,50,10,0.6671550671550672,1.0,0.9751679284109575,0.3155850974509853,0.0,0.01846487043619678
50_25,50,25,0.45060606060606057,1.0,0.985944120505345,0.18135699084050155,0.0,0.009373646560143452
50_50,50,50,0.443039489750016,1.0,0.9887499999999999,0.3455655758194494,0.0,0.00961769203083567
50_100,50,100,0.20197802197802198,1.0,0.9914285714285714,0.2032844401145731,0.0,0.009389529557231423
100_10,100,10,0.461231884057971,1.0,0.991689408655654,0.2761421071623017,0.0,0.007111912822577865
100_25,100,25,0.4925594405594406,1.0,0.9938274044795783,0.3442359231342323,0.0,0.005080861207378459
100_50,100,50,0.5835346722243273,1.0,0.9937192592592593,0.40059268599415276,0.0,0.00554560907137938
100_100,100,100,0.3697685537536834,1.0,0.9959555555555555,0.12805829745739092,0.0,0.004174939934512848
