,SERVICES,SERVICE_DATA,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
10_10,10,10,0.7,1.0,0.9028571428571428,0.4,0.0,0.10638781578234782
10_25,10,25,0.5,1.0,0.8583333333333334,0.4472135954999579,0.0,0.13333333333333333
10_50,10,50,0.4,0.9777777777777779,0.96,0.48989794855663565,0.04444444444444447,0.07999999999999999
10_100,10,100,0.5,1.0,0.9527777777777778,0.4472135954999579,0.0,0.05800170282728085
25_10,25,10,0.5266666666666666,1.0,0.9242156862745098,0.38087618285561864,0.0,0.04728571844326572
25_25,25,25,0.95,1.0,0.8953111946532999,0.09999999999999999,0.0,0.05236892432243234
25_50,25,50,1.0,0.9904761904761905,0.8918055555555556,0.0,0.01904761904761907,0.0767395989654801
25_100,25,100,1.0,0.9875,0.9350326797385622,0.0,0.025,0.05884327918273012
50_10,50,10,0.882905982905983,1.0,0.945987972249832,0.11510253586005079,0.0,0.026590939573631293
50_25,50,25,0.9833333333333332,1.0,0.9436215222399433,0.03333333333333335,0.0,0.029719610574720636
50_50,50,50,0.8,1.0,0.940680417621594,0.4000000000000001,0.0,0.051830515344125104
50_100,50,100,1.0,1.0,0.9575588767500532,0.0,0.0,0.01648176878816377
100_10,100,10,0.8444444444444444,1.0,0.9844954664417681,0.20608041101101565,0.0,0.0048353326581695
100_25,100,25,0.8777777777777779,1.0,0.9719063531877383,0.24444444444444446,0.0,0.015940903493279993
100_50,100,50,1.0,1.0,0.9829622583227273,0.0,0.0,0.006167467767472149
100_100,100,100,1.0,1.0,0.973650306606249,0.0,0.0,0.017341336707115504
