,SERVICES,SERVICE_DATA,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
10_10,10,10,0.7916666666666667,1.0,0.8804444444444444,0.22973414586817034,0.0,0.03456145001530599
10_25,10,25,0.5452380952380953,1.0,0.92875,0.22517315081022643,0.0,0.04852691120513557
10_50,10,50,0.7809523809523811,1.0,0.9183333333333333,0.2301094638021603,0.0,0.05333333333333334
10_100,10,100,0.6525396825396825,1.0,0.9198333333333334,0.2266255353726557,0.0,0.044046692396945204
25_10,25,10,0.6523076923076924,1.0,0.9542805383022774,0.2807597469420405,0.0,0.015968888861684207
25_25,25,25,0.6843885448916408,1.0,0.9552486137524501,0.1412777061189778,0.0,0.01702373212870715
25_50,25,50,0.5327883880825056,1.0,0.9610227272727272,0.29442114806223263,0.0,0.02482899632001587
25_100,25,100,0.7526125027363417,1.0,0.9526117647058824,0.14199325708800406,0.0,0.026031484796147194
50_10,50,10,0.5735607448107448,1.0,0.9830051806555045,0.2377229547202301,0.0,0.012678343267560252
50_25,50,25,0.5957167389527062,1.0,0.9738993944114821,0.2958414819573602,0.0,0.011405057793461532
50_50,50,50,0.9084953374427058,1.0,0.9772218779618915,0.08177199983707427,0.0,0.009153969206325668
50_100,50,100,0.8080357142857142,1.0,0.9896531986531987,0.12236769198124285,0.0,0.009285946236921302
100_10,100,10,0.8370202369882964,1.0,0.98640760907445,0.06851467010205173,0.0,0.007866022559004865
100_25,100,25,0.7581041459044774,1.0,0.9843802918494781,0.2562718320677944,0.0,0.005495457801353578
100_50,100,50,0.8373769864238705,1.0,0.993120723121249,0.10209361674016167,0.0,0.004163537249607584
100_100,100,100,0.7316468672116552,1.0,0.9903700779962122,0.13240698959882644,0.0,0.0009637690545080029
