,SERVICES,SERVICE_DATA,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
10_10,10,10,0.5676190476190476,1.0,0.9025185185185185,0.16194397284288187,0.0,0.07225256722433843
10_25,10,25,0.7642857142857142,1.0,0.8752222222222222,0.14646244284980667,0.0,0.042063444144926264
10_50,10,50,0.8222222222222222,1.0,0.8588571428571429,0.1227890894738908,0.0,0.03469282111236694
10_100,10,100,0.9464285714285715,0.9800000000000001,0.8470887445887445,0.0658538889806635,0.03999999999999999,0.09285820492031302
25_10,25,10,0.865,1.0,0.9506700545830981,0.1312757911167681,0.0,0.021487419917602446
25_25,25,25,0.9258625730994152,1.0,0.9706500862971451,0.06675471896185574,0.0,0.008051767840864043
25_50,25,50,0.9882352941176471,1.0,0.943005572755418,0.023529411764705885,0.0,0.04460045055154527
25_100,25,100,0.9622009569377991,1.0,0.9576240852460532,0.05333157815537904,0.0,0.029275754611758024
50_10,50,10,0.8503703703703703,1.0,0.9677085625427437,0.10852799857466632,0.0,0.011077501920866945
50_25,50,25,0.9319267654751526,1.0,0.9625766968183849,0.0768870853546507,0.0,0.020157350273887886
50_50,50,50,0.9834749034749034,1.0,0.974790479386199,0.01350446470344349,0.0,0.008902088030355738
50_100,50,100,0.9790823211875843,1.0,0.9668947368421051,0.0306672553125846,0.0,0.007407128651819459
100_10,100,10,0.8954495504495504,1.0,0.9854254007853148,0.12765107211762158,0.0,0.009178987380734404
100_25,100,25,0.9477115578485442,1.0,0.9826937540284639,0.043523327276610985,0.0,0.003634844109172492
100_50,100,50,0.9916219972205678,1.0,0.985719256955812,0.011042600465844708,0.0,0.008771584441309772
100_100,100,100,0.9836749045609805,1.0,0.9855698161877499,0.015053839749387272,0.0,0.00816207620656443
