,SERVICES,SERVICE_DATA,AVG_SUCC_RATE_OUR,AVG_SUCC_RATE_SOA,AVG_SATISFACTION,STD_SUCC_RATE_OUR,STD_SUCC_RATE_SOA,STD_SATISFACTION
10_10,10,10,0.96,0.0,0.7924444444444444,0.04898979485566354,0.0,0.02167549677617162
10_25,10,25,1.0,0.0,0.744,0.0,0.0,0.029175332046096774
10_50,10,50,1.0,0.0,0.7608000000000004,0.0,0.0,0.0312563593529381
10_100,10,100,1.0,0.0,0.7606000000000004,0.0,0.0,0.006280127387243022
25_10,25,10,0.96,0.0,0.763668115942029,0.02529822128134702,0.0,0.03379283302650354
25_25,25,25,0.992,0.0,0.7778666666666668,0.016000000000000014,0.0,0.014195085221457647
25_50,25,50,1.0,0.0,0.7684800000000004,0.0,0.0,0.009115788501276215
25_100,25,100,1.0,0.0,0.7723200000000003,0.0,0.0,0.006934666538486212
50_10,50,10,0.9559999999999998,0.0,0.7775220012334259,0.026532998322843192,0.0,0.007225301996874814
50_25,50,25,0.9719999999999999,0.0,0.7859557823129253,0.00979795897113272,0.0,0.00938577323061184
50_50,50,50,1.0,0.0,0.7801600000000004,0.0,0.0,0.011402736513662014
50_100,50,100,1.0,0.0,0.7770800000000004,0.0,0.0,0.0024612192100663772
100_10,100,10,0.952,0.0,0.790667963779983,0.019390719429665308,0.0,0.006059042878619748
100_25,100,25,0.994,0.0,0.772814446505875,0.008000000000000007,0.0,0.006139574975444444
100_50,100,50,1.0,0.0,0.7799200000000004,0.0,0.0,0.005129678352489557
100_100,100,100,1.0,0.0,0.7763200000000005,0.0,0.0,0.003986677814923121
